"","Altitude","Forest.Cover","Forest.Density","Broadleaf.Trees","E2.Layer","E2.Confiers","E1.Layer","E1Height","Slope","Rocks","Exposition","Species","Count","Site"
"16.2",1315,2,2,"0",0,0,9,1,5,"yes","warm","Fringilla.coelebs",1,16
"17.2",1275,4,2,"2",2,2,8,2,6,"no","cold","Fringilla.coelebs",14,17
"18.2",1330,2,2,"1",1,3,6,2,7,"no","cold","Fringilla.coelebs",7,18
"19.2",860,2,2,"1",1,3,8,2,5,"no","cold","Fringilla.coelebs",12,19
"20.2",1285,3,2,"2",1,2,7,2,6,"no","warm","Fringilla.coelebs",15,20
"21.2",1330,1,1,"1",1,4,8,1,6,"yes","warm","Fringilla.coelebs",1,21
"22.2",885,4,2,"1",2,3,7,3,6,"no","cold","Fringilla.coelebs",7,22
"23.2",1025,4,2,"2",0,0,4,1,5,"no","cold","Fringilla.coelebs",1,23
"24.2",1095,4,2,"3",0,0,8,1,6,"no","cold","Fringilla.coelebs",16,24
"25.2",1155,2,2,"2",1,2,6,2,4,"no","cold","Fringilla.coelebs",1,25
"26.2",1190,3,2,"2",2,2,5,2,7,"no","cold","Fringilla.coelebs",14,26
"27.2",1295,2,2,"0",2,4,6,2,6,"no","cold","Fringilla.coelebs",1,27
"28.2",930,4,2,"4",1,0,6,2,8,"no","cold","Fringilla.coelebs",9,28
"29.2",1000,3,2,"4",1,0,9,4,7,"no","cold","Fringilla.coelebs",12,29
"30.2",1090,4,1,"2",3,4,9,3,5,"no","cold","Fringilla.coelebs",12,30
"31.2",1180,2,2,"2",2,2,4,1,3,"no","cold","Fringilla.coelebs",11,31
"32.2",1175,3,2,"4",3,0,8,2,4,"no","warm","Fringilla.coelebs",11,32
"33.2",1170,4,2,"4",2,0,8,2,8,"no","warm","Fringilla.coelebs",17,33
"34.2",1190,4,2,"4",3,0,9,2,9,"no","warm","Fringilla.coelebs",11,34
"35.2",910,4,2,"4",0,0,7,2,8,"no","cold","Fringilla.coelebs",14,35
"36.2",1050,4,3,"2",0,0,8,2,4,"no","cold","Fringilla.coelebs",1,36
"37.2",1035,4,1,"3",3,2,9,3,4,"no","warm","Fringilla.coelebs",12,37
"38.2",1010,2,1,"4",3,0,9,3,9,"no","warm","Fringilla.coelebs",2,38
"39.2",1135,4,2,"4",3,0,9,3,9,"no","cold","Fringilla.coelebs",7,39
"40.2",1190,4,2,"4",1,0,9,3,9,"no","warm","Fringilla.coelebs",11,40
"41.2",910,4,2,"4",0,0,6,2,9,"no","warm","Fringilla.coelebs",11,41
"42.2",1050,4,2,"3",0,0,9,2,7,"no","warm","Fringilla.coelebs",8,42
"43.2",1045,1,2,"4",3,1,9,2,8,"no","warm","Fringilla.coelebs",6,43
"1.3",860,4,3,"2",2,2,3,1,8,"no","cold","Parus.ater",4,1
"2.3",1010,4,3,"2",0,0,1,1,5,"yes","cold","Parus.ater",8,2
"3.3",1070,4,2,"2",2,2,4,1,8,"no","cold","Parus.ater",8,3
"4.3",1050,4,2,"2",2,2,3,1,9,"no","cold","Parus.ater",4,4
"5.3",1030,4,2,"2",2,2,6,1,7,"no","cold","Parus.ater",1,5
"6.3",880,4,1,"2",2,2,5,2,9,"yes","cold","Parus.ater",6,6
"7.3",1035,4,3,"2",2,0,1,1,6,"yes","cold","Parus.ater",6,7
"8.3",1130,4,2,"2",2,2,4,1,1,"no","cold","Parus.ater",7,8
"9.3",1090,2,2,"3",2,0,8,1,6,"no","cold","Parus.ater",4,9
"10.3",1105,2,2,"4",3,2,9,2,6,"no","cold","Parus.ater",6,10
"11.3",1240,4,1,"2",1,4,8,2,6,"yes","cold","Parus.ater",3,11
"12.3",1235,4,1,"2",3,2,9,3,7,"no","cold","Parus.ater",0,12
"13.3",1220,3,2,"4",0,0,9,2,6,"no","cold","Parus.ater",0,13
"14.3",1180,0,0,"0",3,1,8,3,7,"no","cold","Parus.ater",2,14
"15.3",1275,3,2,"2",3,2,8,1,5,"yes","warm","Parus.ater",6,15
"16.3",1315,2,2,"0",0,0,9,1,5,"yes","warm","Parus.ater",4,16
"17.3",1275,4,2,"2",2,2,8,2,6,"no","cold","Parus.ater",3,17
"18.3",1330,2,2,"1",1,3,6,2,7,"no","cold","Parus.ater",2,18
"19.3",860,2,2,"1",1,3,8,2,5,"no","cold","Parus.ater",1,19
"20.3",1285,3,2,"2",1,2,7,2,6,"no","warm","Parus.ater",0,20
"21.3",1330,1,1,"1",1,4,8,1,6,"yes","warm","Parus.ater",2,21
"22.3",885,4,2,"1",2,3,7,3,6,"no","cold","Parus.ater",2,22
"23.3",1025,4,2,"2",0,0,4,1,5,"no","cold","Parus.ater",4,23
"24.3",1095,4,2,"3",0,0,8,1,6,"no","cold","Parus.ater",3,24
"25.3",1155,2,2,"2",1,2,6,2,4,"no","cold","Parus.ater",5,25
"26.3",1190,3,2,"2",2,2,5,2,7,"no","cold","Parus.ater",7,26
"27.3",1295,2,2,"0",2,4,6,2,6,"no","cold","Parus.ater",6,27
"28.3",930,4,2,"4",1,0,6,2,8,"no","cold","Parus.ater",2,28
"29.3",1000,3,2,"4",1,0,9,4,7,"no","cold","Parus.ater",3,29
"30.3",1090,4,1,"2",3,4,9,3,5,"no","cold","Parus.ater",3,30
"31.3",1180,2,2,"2",2,2,4,1,3,"no","cold","Parus.ater",8,31
"32.3",1175,3,2,"4",3,0,8,2,4,"no","warm","Parus.ater",2,32
"33.3",1170,4,2,"4",2,0,8,2,8,"no","warm","Parus.ater",3,33
"34.3",1190,4,2,"4",3,0,9,2,9,"no","warm","Parus.ater",0,34
"35.3",910,4,2,"4",0,0,7,2,8,"no","cold","Parus.ater",2,35
"36.3",1050,4,3,"2",0,0,8,2,4,"no","cold","Parus.ater",4,36
"37.3",1035,4,1,"3",3,2,9,3,4,"no","warm","Parus.ater",5,37
"38.3",1010,2,1,"4",3,0,9,3,9,"no","warm","Parus.ater",0,38
"39.3",1135,4,2,"4",3,0,9,3,9,"no","cold","Parus.ater",1,39
"40.3",1190,4,2,"4",1,0,9,3,9,"no","warm","Parus.ater",2,40
"41.3",910,4,2,"4",0,0,6,2,9,"no","warm","Parus.ater",2,41
"42.3",1050,4,2,"3",0,0,9,2,7,"no","warm","Parus.ater",6,42
"43.3",1045,1,2,"4",3,1,9,2,8,"no","warm","Parus.ater",4,43
"1.4",860,4,3,"2",2,2,3,1,8,"no","cold","Prunella.modularis",4,1
"2.4",1010,4,3,"2",0,0,1,1,5,"yes","cold","Prunella.modularis",4,2
"3.4",1070,4,2,"2",2,2,4,1,8,"no","cold","Prunella.modularis",2,3
"4.4",1050,4,2,"2",2,2,3,1,9,"no","cold","Prunella.modularis",2,4
"5.4",1030,4,2,"2",2,2,6,1,7,"no","cold","Prunella.modularis",4,5
"6.4",880,4,1,"2",2,2,5,2,9,"yes","cold","Prunella.modularis",2,6
"7.4",1035,4,3,"2",2,0,1,1,6,"yes","cold","Prunella.modularis",2,7
"8.4",1130,4,2,"2",2,2,4,1,1,"no","cold","Prunella.modularis",0,8
"9.4",1090,2,2,"3",2,0,8,1,6,"no","cold","Prunella.modularis",6,9
"10.4",1105,2,2,"4",3,2,9,2,6,"no","cold","Prunella.modularis",2,10
"11.4",1240,4,1,"2",1,4,8,2,6,"yes","cold","Prunella.modularis",4,11
"12.4",1235,4,1,"2",3,2,9,3,7,"no","cold","Prunella.modularis",8,12
"13.4",1220,3,2,"4",0,0,9,2,6,"no","cold","Prunella.modularis",4,13
"14.4",1180,0,0,"0",3,1,8,3,7,"no","cold","Prunella.modularis",4,14
"15.4",1275,3,2,"2",3,2,8,1,5,"yes","warm","Prunella.modularis",2,15
"16.4",1315,2,2,"0",0,0,9,1,5,"yes","warm","Prunella.modularis",8,16
"17.4",1275,4,2,"2",2,2,8,2,6,"no","cold","Prunella.modularis",6,17
"18.4",1330,2,2,"1",1,3,6,2,7,"no","cold","Prunella.modularis",8,18
"19.4",860,2,2,"1",1,3,8,2,5,"no","cold","Prunella.modularis",2,19
"20.4",1285,3,2,"2",1,2,7,2,6,"no","warm","Prunella.modularis",4,20
"21.4",1330,1,1,"1",1,4,8,1,6,"yes","warm","Prunella.modularis",2,21
"22.4",885,4,2,"1",2,3,7,3,6,"no","cold","Prunella.modularis",4,22
"23.4",1025,4,2,"2",0,0,4,1,5,"no","cold","Prunella.modularis",2,23
"24.4",1095,4,2,"3",0,0,8,1,6,"no","cold","Prunella.modularis",4,24
"25.4",1155,2,2,"2",1,2,6,2,4,"no","cold","Prunella.modularis",4,25
"26.4",1190,3,2,"2",2,2,5,2,7,"no","cold","Prunella.modularis",6,26
"27.4",1295,2,2,"0",2,4,6,2,6,"no","cold","Prunella.modularis",4,27
"28.4",930,4,2,"4",1,0,6,2,8,"no","cold","Prunella.modularis",4,28
"29.4",1000,3,2,"4",1,0,9,4,7,"no","cold","Prunella.modularis",4,29
"30.4",1090,4,1,"2",3,4,9,3,5,"no","cold","Prunella.modularis",4,30
"31.4",1180,2,2,"2",2,2,4,1,3,"no","cold","Prunella.modularis",2,31
"32.4",1175,3,2,"4",3,0,8,2,4,"no","warm","Prunella.modularis",2,32
"33.4",1170,4,2,"4",2,0,8,2,8,"no","warm","Prunella.modularis",0,33
"34.4",1190,4,2,"4",3,0,9,2,9,"no","warm","Prunella.modularis",2,34
"35.4",910,4,2,"4",0,0,7,2,8,"no","cold","Prunella.modularis",0,35
"36.4",1050,4,3,"2",0,0,8,2,4,"no","cold","Prunella.modularis",2,36
"37.4",1035,4,1,"3",3,2,9,3,4,"no","warm","Prunella.modularis",2,37
"38.4",1010,2,1,"4",3,0,9,3,9,"no","warm","Prunella.modularis",4,38
"39.4",1135,4,2,"4",3,0,9,3,9,"no","cold","Prunella.modularis",6,39
"40.4",1190,4,2,"4",1,0,9,3,9,"no","warm","Prunella.modularis",0,40
"41.4",910,4,2,"4",0,0,6,2,9,"no","warm","Prunella.modularis",0,41
"42.4",1050,4,2,"3",0,0,9,2,7,"no","warm","Prunella.modularis",0,42
"43.4",1045,1,2,"4",3,1,9,2,8,"no","warm","Prunella.modularis",4,43
"1.5",860,4,3,"2",2,2,3,1,8,"no","cold","Sylvia.atricapilla",4,1
"2.5",1010,4,3,"2",0,0,1,1,5,"yes","cold","Sylvia.atricapilla",2,2
"3.5",1070,4,2,"2",2,2,4,1,8,"no","cold","Sylvia.atricapilla",2,3
"4.5",1050,4,2,"2",2,2,3,1,9,"no","cold","Sylvia.atricapilla",0,4
"5.5",1030,4,2,"2",2,2,6,1,7,"no","cold","Sylvia.atricapilla",2,5
"6.5",880,4,1,"2",2,2,5,2,9,"yes","cold","Sylvia.atricapilla",6,6
"7.5",1035,4,3,"2",2,0,1,1,6,"yes","cold","Sylvia.atricapilla",2,7
"8.5",1130,4,2,"2",2,2,4,1,1,"no","cold","Sylvia.atricapilla",4,8
"9.5",1090,2,2,"3",2,0,8,1,6,"no","cold","Sylvia.atricapilla",6,9
"10.5",1105,2,2,"4",3,2,9,2,6,"no","cold","Sylvia.atricapilla",4,10
"11.5",1240,4,1,"2",1,4,8,2,6,"yes","cold","Sylvia.atricapilla",0,11
"12.5",1235,4,1,"2",3,2,9,3,7,"no","cold","Sylvia.atricapilla",6,12
"13.5",1220,3,2,"4",0,0,9,2,6,"no","cold","Sylvia.atricapilla",8,13
"14.5",1180,0,0,"0",3,1,8,3,7,"no","cold","Sylvia.atricapilla",6,14
"15.5",1275,3,2,"2",3,2,8,1,5,"yes","warm","Sylvia.atricapilla",0,15
"16.5",1315,2,2,"0",0,0,9,1,5,"yes","warm","Sylvia.atricapilla",2,16
"17.5",1275,4,2,"2",2,2,8,2,6,"no","cold","Sylvia.atricapilla",0,17
"18.5",1330,2,2,"1",1,3,6,2,7,"no","cold","Sylvia.atricapilla",0,18
"19.5",860,2,2,"1",1,3,8,2,5,"no","cold","Sylvia.atricapilla",4,19
"20.5",1285,3,2,"2",1,2,7,2,6,"no","warm","Sylvia.atricapilla",4,20
"21.5",1330,1,1,"1",1,4,8,1,6,"yes","warm","Sylvia.atricapilla",2,21
"22.5",885,4,2,"1",2,3,7,3,6,"no","cold","Sylvia.atricapilla",6,22
"23.5",1025,4,2,"2",0,0,4,1,5,"no","cold","Sylvia.atricapilla",0,23
"24.5",1095,4,2,"3",0,0,8,1,6,"no","cold","Sylvia.atricapilla",4,24
"25.5",1155,2,2,"2",1,2,6,2,4,"no","cold","Sylvia.atricapilla",0,25
"26.5",1190,3,2,"2",2,2,5,2,7,"no","cold","Sylvia.atricapilla",4,26
"27.5",1295,2,2,"0",2,4,6,2,6,"no","cold","Sylvia.atricapilla",2,27
"28.5",930,4,2,"4",1,0,6,2,8,"no","cold","Sylvia.atricapilla",6,28
"29.5",1000,3,2,"4",1,0,9,4,7,"no","cold","Sylvia.atricapilla",6,29
"30.5",1090,4,1,"2",3,4,9,3,5,"no","cold","Sylvia.atricapilla",6,30
"31.5",1180,2,2,"2",2,2,4,1,3,"no","cold","Sylvia.atricapilla",6,31
"32.5",1175,3,2,"4",3,0,8,2,4,"no","warm","Sylvia.atricapilla",2,32
"33.5",1170,4,2,"4",2,0,8,2,8,"no","warm","Sylvia.atricapilla",2,33
"34.5",1190,4,2,"4",3,0,9,2,9,"no","warm","Sylvia.atricapilla",4,34
"35.5",910,4,2,"4",0,0,7,2,8,"no","cold","Sylvia.atricapilla",4,35
"36.5",1050,4,3,"2",0,0,8,2,4,"no","cold","Sylvia.atricapilla",4,36
"37.5",1035,4,1,"3",3,2,9,3,4,"no","warm","Sylvia.atricapilla",4,37
"38.5",1010,2,1,"4",3,0,9,3,9,"no","warm","Sylvia.atricapilla",8,38
"39.5",1135,4,2,"4",3,0,9,3,9,"no","cold","Sylvia.atricapilla",6,39
"40.5",1190,4,2,"4",1,0,9,3,9,"no","warm","Sylvia.atricapilla",2,40
"41.5",910,4,2,"4",0,0,6,2,9,"no","warm","Sylvia.atricapilla",2,41
"42.5",1050,4,2,"3",0,0,9,2,7,"no","warm","Sylvia.atricapilla",0,42
"43.5",1045,1,2,"4",3,1,9,2,8,"no","warm","Sylvia.atricapilla",4,43
"1.6",860,4,3,"2",2,2,3,1,8,"no","cold","Turdus.merula",0,1
"2.6",1010,4,3,"2",0,0,1,1,5,"yes","cold","Turdus.merula",3,2
"3.6",1070,4,2,"2",2,2,4,1,8,"no","cold","Turdus.merula",0,3
"4.6",1050,4,2,"2",2,2,3,1,9,"no","cold","Turdus.merula",2,4
"5.6",1030,4,2,"2",2,2,6,1,7,"no","cold","Turdus.merula",0,5
"6.6",880,4,1,"2",2,2,5,2,9,"yes","cold","Turdus.merula",2,6
"7.6",1035,4,3,"2",2,0,1,1,6,"yes","cold","Turdus.merula",2,7
"8.6",1130,4,2,"2",2,2,4,1,1,"no","cold","Turdus.merula",0,8
"9.6",1090,2,2,"3",2,0,8,1,6,"no","cold","Turdus.merula",6,9
"10.6",1105,2,2,"4",3,2,9,2,6,"no","cold","Turdus.merula",4,10
"11.6",1240,4,1,"2",1,4,8,2,6,"yes","cold","Turdus.merula",2,11
"12.6",1235,4,1,"2",3,2,9,3,7,"no","cold","Turdus.merula",4,12
"13.6",1220,3,2,"4",0,0,9,2,6,"no","cold","Turdus.merula",4,13
"14.6",1180,0,0,"0",3,1,8,3,7,"no","cold","Turdus.merula",2,14
"15.6",1275,3,2,"2",3,2,8,1,5,"yes","warm","Turdus.merula",6,15
"16.6",1315,2,2,"0",0,0,9,1,5,"yes","warm","Turdus.merula",2,16
"17.6",1275,4,2,"2",2,2,8,2,6,"no","cold","Turdus.merula",0,17
"18.6",1330,2,2,"1",1,3,6,2,7,"no","cold","Turdus.merula",2,18
"19.6",860,2,2,"1",1,3,8,2,5,"no","cold","Turdus.merula",0,19
"20.6",1285,3,2,"2",1,2,7,2,6,"no","warm","Turdus.merula",2,20
"21.6",1330,1,1,"1",1,4,8,1,6,"yes","warm","Turdus.merula",2,21
"22.6",885,4,2,"1",2,3,7,3,6,"no","cold","Turdus.merula",3,22
"23.6",1025,4,2,"2",0,0,4,1,5,"no","cold","Turdus.merula",2,23
"24.6",1095,4,2,"3",0,0,8,1,6,"no","cold","Turdus.merula",3,24
"25.6",1155,2,2,"2",1,2,6,2,4,"no","cold","Turdus.merula",6,25
"26.6",1190,3,2,"2",2,2,5,2,7,"no","cold","Turdus.merula",6,26
"27.6",1295,2,2,"0",2,4,6,2,6,"no","cold","Turdus.merula",6,27
"28.6",930,4,2,"4",1,0,6,2,8,"no","cold","Turdus.merula",4,28
"29.6",1000,3,2,"4",1,0,9,4,7,"no","cold","Turdus.merula",1,29
"30.6",1090,4,1,"2",3,4,9,3,5,"no","cold","Turdus.merula",3,30
"31.6",1180,2,2,"2",2,2,4,1,3,"no","cold","Turdus.merula",2,31
"32.6",1175,3,2,"4",3,0,8,2,4,"no","warm","Turdus.merula",4,32
"33.6",1170,4,2,"4",2,0,8,2,8,"no","warm","Turdus.merula",2,33
"34.6",1190,4,2,"4",3,0,9,2,9,"no","warm","Turdus.merula",0,34
"35.6",910,4,2,"4",0,0,7,2,8,"no","cold","Turdus.merula",2,35
"36.6",1050,4,3,"2",0,0,8,2,4,"no","cold","Turdus.merula",0,36
"37.6",1035,4,1,"3",3,2,9,3,4,"no","warm","Turdus.merula",2,37
"38.6",1010,2,1,"4",3,0,9,3,9,"no","warm","Turdus.merula",1,38
"39.6",1135,4,2,"4",3,0,9,3,9,"no","cold","Turdus.merula",0,39
"40.6",1190,4,2,"4",1,0,9,3,9,"no","warm","Turdus.merula",0,40
"41.6",910,4,2,"4",0,0,6,2,9,"no","warm","Turdus.merula",5,41
"42.6",1050,4,2,"3",0,0,9,2,7,"no","warm","Turdus.merula",2,42
"43.6",1045,1,2,"4",3,1,9,2,8,"no","warm","Turdus.merula",2,43
"1.7",860,4,3,"2",2,2,3,1,8,"no","cold","Phylloscopus.collybita",4,1
"2.7",1010,4,3,"2",0,0,1,1,5,"yes","cold","Phylloscopus.collybita",2,2
"3.7",1070,4,2,"2",2,2,4,1,8,"no","cold","Phylloscopus.collybita",0,3
"4.7",1050,4,2,"2",2,2,3,1,9,"no","cold","Phylloscopus.collybita",0,4
"5.7",1030,4,2,"2",2,2,6,1,7,"no","cold","Phylloscopus.collybita",2,5
"6.7",880,4,1,"2",2,2,5,2,9,"yes","cold","Phylloscopus.collybita",4,6
"7.7",1035,4,3,"2",2,0,1,1,6,"yes","cold","Phylloscopus.collybita",2,7
"8.7",1130,4,2,"2",2,2,4,1,1,"no","cold","Phylloscopus.collybita",0,8
"9.7",1090,2,2,"3",2,0,8,1,6,"no","cold","Phylloscopus.collybita",2,9
"10.7",1105,2,2,"4",3,2,9,2,6,"no","cold","Phylloscopus.collybita",4,10
"11.7",1240,4,1,"2",1,4,8,2,6,"yes","cold","Phylloscopus.collybita",2,11
"12.7",1235,4,1,"2",3,2,9,3,7,"no","cold","Phylloscopus.collybita",2,12
"13.7",1220,3,2,"4",0,0,9,2,6,"no","cold","Phylloscopus.collybita",2,13
"14.7",1180,0,0,"0",3,1,8,3,7,"no","cold","Phylloscopus.collybita",4,14
"15.7",1275,3,2,"2",3,2,8,1,5,"yes","warm","Phylloscopus.collybita",2,15
"16.7",1315,2,2,"0",0,0,9,1,5,"yes","warm","Phylloscopus.collybita",2,16
"17.7",1275,4,2,"2",2,2,8,2,6,"no","cold","Phylloscopus.collybita",2,17
"18.7",1330,2,2,"1",1,3,6,2,7,"no","cold","Phylloscopus.collybita",2,18
"19.7",860,2,2,"1",1,3,8,2,5,"no","cold","Phylloscopus.collybita",0,19
"20.7",1285,3,2,"2",1,2,7,2,6,"no","warm","Phylloscopus.collybita",4,20
"21.7",1330,1,1,"1",1,4,8,1,6,"yes","warm","Phylloscopus.collybita",4,21
"22.7",885,4,2,"1",2,3,7,3,6,"no","cold","Phylloscopus.collybita",0,22
"23.7",1025,4,2,"2",0,0,4,1,5,"no","cold","Phylloscopus.collybita",2,23
"24.7",1095,4,2,"3",0,0,8,1,6,"no","cold","Phylloscopus.collybita",6,24
"25.7",1155,2,2,"2",1,2,6,2,4,"no","cold","Phylloscopus.collybita",0,25
"26.7",1190,3,2,"2",2,2,5,2,7,"no","cold","Phylloscopus.collybita",4,26
"27.7",1295,2,2,"0",2,4,6,2,6,"no","cold","Phylloscopus.collybita",2,27
"28.7",930,4,2,"4",1,0,6,2,8,"no","cold","Phylloscopus.collybita",2,28
"29.7",1000,3,2,"4",1,0,9,4,7,"no","cold","Phylloscopus.collybita",4,29
"30.7",1090,4,1,"2",3,4,9,3,5,"no","cold","Phylloscopus.collybita",6,30
"31.7",1180,2,2,"2",2,2,4,1,3,"no","cold","Phylloscopus.collybita",0,31
"32.7",1175,3,2,"4",3,0,8,2,4,"no","warm","Phylloscopus.collybita",4,32
"33.7",1170,4,2,"4",2,0,8,2,8,"no","warm","Phylloscopus.collybita",2,33
"34.7",1190,4,2,"4",3,0,9,2,9,"no","warm","Phylloscopus.collybita",2,34
"35.7",910,4,2,"4",0,0,7,2,8,"no","cold","Phylloscopus.collybita",2,35
"36.7",1050,4,3,"2",0,0,8,2,4,"no","cold","Phylloscopus.collybita",0,36
"37.7",1035,4,1,"3",3,2,9,3,4,"no","warm","Phylloscopus.collybita",4,37
"38.7",1010,2,1,"4",3,0,9,3,9,"no","warm","Phylloscopus.collybita",4,38
"39.7",1135,4,2,"4",3,0,9,3,9,"no","cold","Phylloscopus.collybita",0,39
"40.7",1190,4,2,"4",1,0,9,3,9,"no","warm","Phylloscopus.collybita",0,40
"41.7",910,4,2,"4",0,0,6,2,9,"no","warm","Phylloscopus.collybita",0,41
"42.7",1050,4,2,"3",0,0,9,2,7,"no","warm","Phylloscopus.collybita",2,42
"43.7",1045,1,2,"4",3,1,9,2,8,"no","warm","Phylloscopus.collybita",6,43
"1.8",860,4,3,"2",2,2,3,1,8,"no","cold","Cuculus.canorus",0,1
"2.8",1010,4,3,"2",0,0,1,1,5,"yes","cold","Cuculus.canorus",0,2
"3.8",1070,4,2,"2",2,2,4,1,8,"no","cold","Cuculus.canorus",4,3
"4.8",1050,4,2,"2",2,2,3,1,9,"no","cold","Cuculus.canorus",0,4
"5.8",1030,4,2,"2",2,2,6,1,7,"no","cold","Cuculus.canorus",2,5
"6.8",880,4,1,"2",2,2,5,2,9,"yes","cold","Cuculus.canorus",0,6
