"","Height","Spread","Angle","Area","Thick","SLA","N_mass","Seed"
"Sile.acau",1,50,70,13.3,0.26,10.6,163.24,0.4
"Thym.poly",0.5,50,20,21.2,0.4,10.6,214.12,0.13
"Vero.alpi",4,20,30,76.3,0.28,21.6,347.76,0.06
"Vero.alli",1,20,40,124.2,0.24,9.7,173.63,0.11
"Vero.bell",1.5,10,10,103.7,0.4,6.4,134.4,0.13
"Myos.alpe",9,5,80,62.1,0.16,16.2,228.42,0.52
"Tara.alpi",5,30,10,1220.6,0.1,35.6,430.76,0.08
"Scab.luci",7,30,40,751.6,0.3,17.5,231,1.98
"Anth.alpe",15,30,80,140.1,0.4,11.6,298.12,4.77
"Oxyt.camp",12,25,70,281.9,0.3,14,382.2,1.76
"Oxyt.lapp",2.5,25,20,281.9,0.24,14.1,355.32,1.53
"Lotu.alpi",2,20,70,26,0.16,20,440,1.28
"Trif.alpi",2,20,35,157.6,0.1,20.4,403.92,1.72
"Trif.badi",8,20,20,431.4,0.16,16,342.4,1.23
"Trif.thal",1,50,10,68.6,0.1,14,317.8,0.74
