"Falco_subbuteo","Anthus_trivialis","Phylloscopus_bonelli","Tetrao_tetrix","Parus_caeruleus","Dendrocopos_major","Garrulus_glandarius","Carduelis_spinus","Loxia_curvirostra","Phylloscopus_trochilus","Certhia_brachydactyla","Sylvia_borin","Phoenicurus_phoenicurus","Hippolais_icterina","Pyrrhula_pyrrhula","Emberiza_citrinella","Muscicapa_striata","Picus_canus","Picus_viridis","Accipiter_gentilis","Bonasa_bonasia","Parus_cristatus","Prunella_modularis","Columba_oenas","Coccothraustes_coccothraustes","Sylvia_curruca","Sitta_europaea","Dendrocopos_minor","Corvus_corax","Cuculus_canorus","Buteo_buteo","Turdus_viscivorus","Parus_montanus","Luscinia_megarhynchos","Lanius_collurio","Oriolus_oriolus","Corvus_corone","Turdus_torquatus","Columba_palumbus","Aegithalos_caudatus","Milvus_migrans","Dryocopus_martius","Regulus_ignicapillus","Accipiter_nisus","Parus_palustris","Nucifraga_caryocatactes","Ficedula_hypoleuca","Streptopelia_turtur","Turdus_pilaris","Certhia_familiaris","Strix_aluco","Phylloscopus_sibilatrix","Asio_otus","Pernis_apivorus","Regulus_regulus","Serinus_citrinella","avg","cov","cv","dns","fhd","p10","p25","p95","rt_p2595","std","uhd","asp","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","ddeg0","ddeg5","mbal","mind","pet_103","pet_49","pet_ave","pet_swrt","prc_103","prc_49","prc_swrt","rad","slp","tpi","twi","CLUMPY_canopy","CLUMPY_under_midstorey","TE_canopy","TE_under_midstorey","TE_matrix","TE_total","data_type","blockCV_tile"
0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,17.6599998474121,52.7999992370605,0.599093998591197,52.7999992370605,1.97954726219177,2.3899998664856,7.69999980926514,32.9599990844727,0.233616505556658,10.5799999237061,2.28324031829834,193.710189819336,9.47369956970215,18.0195999145508,0.930925011634827,1124,122,67,21.2084255218506,362,216,355,224,8.3821496963501,31.2500495910645,692.435974121094,24.3030757904053,-2.5188250541687,26.8217754364014,16.3792495727539,2.25957489013672,39641.26953125,23440.412109375,-213,1.11874771118164,1.83794438838959,5.46775388717651,3.65284919738769,3.13159394264221,470.346710205078,653.309997558594,1.38884210586548,19937.90234375,10.9681434631348,-0.722355842590332,6.34889316558838,0.7175,0.5321,12160,11600,7280,31040,"train",4
0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,14.789999961853,32.7999992370605,0.540906018974572,32.7999992370605,1.84561383724213,4.29999971389771,7.98000001907349,28.2899990081787,0.282078483522267,8,2.36502027511597,167.572967529297,5.18622493743896,12.8343753814697,-2.16777491569519,1904,196,115,16.1128253936768,581,386,581,453,7.53564977645874,31.4210758209229,615.810302734375,18.1633491516113,-5.81689977645874,23.9808750152588,12.8343753814697,5.99897480010986,16978.7734375,11007.833984375,282,0.84185004234314,2.701819896698,6.16911602020264,4.43546772003174,2.35968327522278,859.332702636719,1044.73315429688,1.21646237373352,24356.66796875,12.9922885894775,-1.87073373794556,5.6036114692688,0.6916,0.4722,15480,17340,12380,45200,"train",4
0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8.90999984741211,29.2000007629395,0.705948380423367,29.2000007629395,1.50629198551178,2.72000002861023,3.87999987602234,21.4300003051758,0.181054587996681,6.28999996185303,2.29457950592041,249.174499511719,3.34730005264282,11.0198249816895,-3.68612504005432,1283,167,60,30.8470001220703,418,209,299,209,7.85379981994629,32.0962753295898,607.399108886719,16.723949432373,-7.74012517929077,24.4645252227783,5.46439981460571,-3.68612504005432,10408.740234375,6347.33203125,207,0.832555294036865,1.22195541858673,4.65366315841675,2.9378092288971,4.02843475341797,555.917907714844,726.701354980469,1.30690789222717,16163.533203125,24.6774959564209,-0.463959783315659,4.7582540512085,0.6379,0.5001,14480,24360,12520,51360,"train",3
0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10.0799999237061,56.7999992370605,0.91865082331045,56.7999992370605,1.63750696182251,1.75,3.30999994277954,30.769998550415,0.107572313900382,9.26000022888184,2.29129147529602,223.341705322266,9.09472465515137,17.5659999847412,0.620500028133392,1256,145,70,25.7239246368408,422,228,422,233,8.26904964447021,31.0961494445801,686.874572753906,23.6830253601074,-2.90802502632141,26.5913753509521,17.5659999847412,1.89034998416901,35289.03515625,20254.48046875,-234,1.12102484703064,2.26074075698852,5.88704442977905,4.07389259338379,2.60677552223206,497.640991210938,758.822998046875,1.52480840682983,22250.748046875,4.55398797988892,0.129712730646133,6.61278676986694,0.5357,0.5483,22180,22360,8540,53080,"train",4
0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7.33999967575073,12.6000003814697,0.862397847866202,12.6000003814697,1.36418521404266,1.46999990940094,2.64999985694885,20.9599990844727,0.12643129640745,6.32999992370605,2.27609634399414,122.091186523438,9.68445014953613,18.2738246917725,1.02660000324249,1230,140,70,25.2212505340576,413,226,413,230,8.55325031280518,31.4586753845215,698.5556640625,24.5804748535156,-2.6125750541687,27.1927757263184,18.2738246917725,2.37930011749268,40797.1484375,25384.576171875,-184,1.07809889316559,2.02736783027649,5.7024188041687,3.86489343643189,2.8168888092041,489.369354248047,740.445678710938,1.51304888725281,21091.392578125,1.59990441799164,-0.409158736467361,8.85558128356934,0.44,0.4937,8680,13480,13240,35400,"train",4
0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,13.2399997711182,63.7999992370605,0.628398779354478,63.7999992370605,1.80211853981018,4.71000003814697,6.46000003814697,29.8999996185303,0.216053515737955,8.31999969482422,2.24257016181946,141.21240234375,7.22987508773804,15.4078502655029,-0.615625023841858,1834,221,65,36.3630752563477,610,233,550,235,8.1204252243042,31.4247741699219,650.513366699219,21.2175998687744,-4.6128249168396,25.8303756713867,12.1671495437622,0.430474996566772,25078.76953125,16006.5791015625,295,0.850138545036316,2.78248453140259,5.63616609573364,4.20932531356812,2.09238052368164,677.9638671875,1155.703125,1.70438706874847,23048.65625,32.131706237793,-1.56289303302765,4.43841886520386,0.5573,0.4917,19900,20780,3160,43840,"train",3
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,17.2099990844727,33.4000015258789,0.531667641213628,33.4000015258789,1.91606140136719,3.37999987602234,9.4399995803833,30.5999984741211,0.308496733696469,9.14999961853027,2.36852765083313,249.016738891602,4.18954992294312,11.684024810791,-2.88479995727539,1874,212,123,20.1658992767334,611,395,611,430,8.07687473297119,33.2680740356445,601.231750488281,17.3269996643066,-6.95015001296997,24.2770748138428,11.684024810791,4.87892484664917,12386.8095703125,8850.0078125,561,0.67535811662674,1.63617694377899,5.53201532363892,3.5840961933136,3.79178833961487,827.088928222656,1046.4248046875,1.26519119739532,19705.583984375,17.3559741973877,-4.28154897689819,5.31670951843262,0.8134,0.4785,7660,18180,16840,42680,"train",1
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9899997711182,17.8000011444092,0.569641372317483,17.8000011444092,1.68433201313019,3.33999991416931,6.40999984741211,24.0299987792969,0.266749903164151,6.82999992370605,2.39252042770386,270.40478515625,7.03977489471435,14.8893747329712,-0.31224998831749,1709,176,121,11.0745496749878,488,387,387,475,7.30952501296997,30.4568252563477,623.67578125,20.5713500976562,-3.42650008201599,23.9976997375488,0.788950026035309,14.4818000793457,24325.47265625,15375.7392578125,302,0.866023600101471,1.99150347709656,5.69751024246216,3.84450697898865,2.88772296905518,923.721435546875,785.384765625,0.85023021697998,21056.513671875,6.07983875274658,-0.717464327812195,6.75393962860107,0.654,0.5488,9540,13880,10260,33680,"train",1
0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3999996185303,25.7000007629395,0.640972207413043,25.7000007629395,1.88323831558227,3.54999995231628,6.11999988555908,30.1199989318848,0.203187254401942,9.22999954223633,2.36791920661926,74.943359375,9.03742504119873,17.3178997039795,0.518024981021881,1371,174,77,30.3286991119385,496,252,496,252,8.63799953460693,32.1856994628906,681.139038085938,23.3178749084473,-3.51747488975525,26.8354244232178,17.3178997039795,0.518024981021881,34833.578125,21040.203125,122,0.854799628257751,1.59626662731171,5.22217178344727,3.40921902656555,3.35111665725708,535.819152832031,834.750244140625,1.56121909618378,18615.962890625,17.2712440490723,0.357793599367142,4.98912239074707,0.5789,0.2744,13980,35940,29280,79200,"train",5
0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,14.3099994659424,22.3000011444092,0.697414389566443,22.3000011444092,1.84666275978088,3.66999983787537,6.00999975204468,31.5699996948242,0.190370598990851,9.97999954223633,2.34504508972168,268.519195556641,7.57315015792847,15.6684503555298,-0.497925013303757,1683,195,100,24.270299911499,565,326,565,326,7.77322483062744,30.7202491760254,657.5634765625,21.2247753143311,-4.0784502029419,25.3035259246826,15.6684503555298,-0.497925013303757,24289.703125,17696.462890625,253,0.802318036556244,2.05951452255249,5.7600212097168,3.90976786613464,2.82505512237549,681.151428222656,1001.99359130859,1.47112607955933,21395.462890625,6.45837688446045,-1.08010125160217,6.53984117507935,0.6244,0.5295,11180,18900,15960,46040,"train",5
0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,13.8199996948242,54.7000007629395,0.456584665855146,54.7000007629395,1.65478384494781,5.17000007629395,8.76999950408936,24.0900001525879,0.364051450748838,6.30999994277954,2.31678485870361,177.866485595703,5.69412517547607,13.2665252685547,-1.35775005817413,1730,166,121,8.29494953155518,466,389,427,449,7.03252506256104,30.3237743377686,603.089233398438,18.5762252807617,-4.61267518997192,23.1893005371094,2.73480010032654,1.03394997119904,18503.337890625,11456.1416015625,60,0.97938483953476,2.88103151321411,6.25293302536011,4.56698226928711,2.19712996482849,883.371948242188,846.576721191406,0.958248615264893,25067.31640625,12.8236532211304,1.35748159885406,5.29271078109741,0.5514,0.2503,21880,18140,16700,56720,"train",1
0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,17.0200004577637,41.2000007629395,0.50117505896307,41.2000007629395,1.89176774024963,4.69000005722046,9.42000007629395,29.8999996185303,0.315050173795186,8.52999973297119,2.31724905967712,181.914962768555,8.87882518768311,16.996000289917,0.927474975585938,1140,126,67,20.1459999084473,360,215,343,227,7.82132482528687,30.9499492645264,652.295837402344,22.7877006530762,-2.48219990730286,25.2705249786377,15.2954750061035,2.03605008125305,37195.7578125,19462.861328125,-334,1.22859072685242,2.21477890014648,5.84581422805786,4.03029680252075,2.65976691246033,483.249603271484,656.88330078125,1.35929024219513,22023,5.7532205581665,0.140280589461327,6.73285341262817,0.8122,0.434,9860,10300,9680,29840,"train",4
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11.3299999237061,33.7999992370605,0.598411277901708,33.7999992370605,1.65902316570282,3.35999989509583,5.48999977111816,23.4899997711182,0.233716467629273,6.77999973297119,2.34787082672119,132.314361572266,2.761549949646,10.5586252212524,-4.73392486572266,1290,168,65,32.7024993896484,471,217,471,217,7.8253002166748,31.3630256652832,629.833923339844,16.070650100708,-8.87975025177002,24.9500999450684,10.5586252212524,-4.73392486572266,9921.0537109375,5997.734375,-230,1.13607597351074,2.40832090377808,5.90253925323486,4.15543031692505,2.58693146705627,481.038299560547,808.884094238281,1.68165898323059,22886.900390625,19.1457042694092,4.73215913772583,4.62256002426147,0.7887,0.5628,10640,17880,12120,40640,"train",5
0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.46999979019165,15.8000001907349,0.859350869100236,15.8000001907349,1.2371324300766,1.5699999332428,2.1800000667572,17.1499996185303,0.127113709343862,5.55999994277954,2.18652987480164,222.033264160156,3.50250005722046,10.6982002258301,-3.01399993896484,1723,170,117,12.3782997131348,502,372,502,398,6.73295021057129,30.2550506591797,572.714538574219,15.5115003585815,-6.73855018615723,22.2499752044678,10.6982002258301,-1.31437504291534,11223.5458984375,7175.8603515625,291,0.811010181903839,2.36075329780579,5.47014904022217,3.91545104980469,2.74248075485229,794.168395996094,928.972229003906,1.16987085342407,21548.52734375,28.1454524993896,5.55594301223755,4.07266426086426,0.5075,0.481,11500,26320,17220,55040,"train",1
0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,10.3499994277954,22.2000007629395,0.65700483959796,22.2000007629395,1.59853899478912,1.50999999046326,4.30999994277954,22.689998626709,0.189951529468412,6.79999971389771,2.3276309967041,170.319686889648,9.74314975738525,18.1687755584717,1.51150000095367,1066,100,76,8.79434967041016,285,233,273,263,8.5305004119873,31.9631004333496,675.630676269531,24.7143745422363,-1.97172498703003,26.6862506866455,5.74644994735718,5.37709999084473,40800.84765625,23734.544921875,-465,1.43478453159332,2.43679332733154,5.93787240982056,4.18733263015747,2.45770120620727,528.039672851562,538.106750488281,1.01906931400299,22855.740234375,8.62598609924316,-0.266337275505066,6.61558294296265,0.7312,0.6039,7340,20160,16820,44320,"train",2
0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,10.2600002288818,18.1000003814697,0.774853765293878,18.1000003814697,1.62051427364349,2.44000005722046,4.69999980926514,27.4799995422363,0.171033474801967,7.94999980926514,2.36197137832642,272.939697265625,9.3529748916626,17.8584499359131,0.866874992847443,1190,119,77,14.2720499038696,355,251,347,264,8.23970031738281,31.0270748138428,688.69140625,24.0783500671387,-2.47740006446838,26.5554008483887,16.2102756500244,2.19295001029968,38784.65625,22027.80078125,-180,1.10600996017456,1.89674067497253,5.5900239944458,3.74338245391846,2.96803784370422,541.488159179688,648.214294433594,1.19690692424774,20436.59765625,6.29568958282471,-0.314298570156097,6.1626410484314,0.6128,0.4989,10580,21320,17140,49040,"train",4
0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,7.77999973297119,11.6000003814697,1.06683810740506,11.6000003814697,1.42347240447998,1.12000000476837,1.37999999523163,25.1599998474121,0.054848966756793,8.30000019073486,1.57625162601471,192.192962646484,3.4956750869751,11.2864999771118,-4.12977504730225,1588,201,96,29.1461505889893,576,314,576,314,7.75477504730225,31.4012508392334,633.865356445312,16.7200756072998,-7.97249984741211,24.6919746398926,11.2864999771118,-4.12977504730225,11267.6142578125,7845.01025390625,-3,0.991702437400818,2.74294567108154,5.96088218688965,4.3519139289856,2.2343373298645,639.430358886719,949.029235839844,1.48399639129639,23949.373046875,23.0607833862305,-0.854164361953735,4.7442798614502,0.6307,0.3193,10100,22220,21640,53960,"train",5
