,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,sp36,sp37,sp38,sp39,sp40,sp41,sp42,sp43,sp44,sp45,sp46,sp47,sp48,sp49,sp50,sp51,sp52,sp53,sp54,sp55,sp56
24,,,,,,,,,,,,,,8,,,,,,42,8,,,,24,,60,93,236,143,9,8,16,6,41,126,,4,,23,72,1,16,,1,7,,,,2,11,3,,,,
25,49,45,10,7,43,14,,,572,123,13,,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,529,31,,,,3,,,
26,10,4,3,,19,3,,,692,115,17,,41,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,27,,,,3,,,
27,,,,,5,,,,644,87,18,1,95,36,,,2,52,,,1,12,,,1,,,,,,,,,,,,,,,,,,,,,,,456,18,2,,,3,,,
28,,,,,,,,,453,52,14,1,157,65,,,7,240,,1,2,158,1,28,6,8,,,,,,,,,,,,,,,,,,,,,,245,9,5,,,2,,,
29,,,,,,,,,222,22,9,1,204,95,,,11,309,1,2,3,272,2,120,18,57,1,3,,,,,,,,,,,,,,,,,,,,71,3,9,2,,1,,,
30,,,,,,,,,59,5,4,,216,116,,,13,141,1,3,5,138,2,201,36,1,4,41,1,1,1,,1,,,,,,,,,,,,,,,5,,14,6,,1,,,
31,,,,,,,,,3,,1,,190,122,,,11,8,1,4,7,7,2,183,56,,12,139,7,13,2,3,26,,,,,,,,,,,,,,,,,18,14,,,,,
32,,,,,,,,,,,,,135,111,,,7,,1,6,8,,1,86,71,,22,259,18,48,5,8,94,1,2,,,,,,,,,,,,,,,21,24,,,,,
33,,,,,,,,,,,,,73,87,,,3,,,6,9,,,12,78,,31,329,34,97,7,13,164,2,7,17,,1,,2,,,,,,,,,,22,35,1,,,,
34,,,,,,,,,,,,,26,56,,,,,,7,9,,,,73,,36,305,51,139,10,16,174,3,18,63,,5,,12,11,,,,,,,,,21,44,4,,,,
35,,,,,,,,,,,,,4,28,,,,,,7,8,,,,59,,36,202,65,153,12,14,116,3,30,100,,9,,29,53,,1,,,,,,,18,50,7,,,,
36,,,,,,,,,,,,,,9,,,,,,6,7,,,,40,,30,85,72,130,13,9,41,2,39,88,,9,,41,119,,7,,,6,,,,14,51,11,,1,,
37,36,34,,5,42,5,,,623,245,19,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,709,,,,,11,,,
38,7,3,,,19,1,,,753,228,25,,33,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,774,,1,,,12,,,
39,,,,,5,,,,701,173,26,,77,34,,,,48,,,,21,,,1,,,,,,,,,,,,,,,,,,,,,,,611,,4,,,11,,,
40,,,,,,,,,493,103,21,,128,62,,,,222,,,1,266,,16,8,8,,,,,,,,,,,,,,,,,,,,,,327,,10,,,8,,,
41,,,,,,,,,242,43,13,,166,89,,,1,286,,,2,459,,67,23,60,,2,,,,,,,,,,,,,,,,,,,,95,,19,4,,5,,,
42,,,,,,,,,65,9,6,,176,109,,,1,131,,,4,233,,112,46,1,1,23,,1,1,,2,,,,,,,,,,,,,,,6,,29,14,,2,,1,
43,,,,,,,,,4,,1,,155,115,,,1,8,,,5,12,,102,70,,4,80,1,8,3,3,48,,,,,,,,,,,,,,,,,38,31,,,,2,
44,,,,,,,,,,,,,110,105,,,,,,,6,,,48,90,,7,148,1,29,6,9,176,,1,,,,,,,,,,,,,,,44,53,,,,3,
45,,,,,,,,,,,,,60,82,,,,,,,7,,,7,98,,11,188,3,59,9,14,305,,6,9,,2,,2,,,,,,,,,,47,76,2,,,3,
46,,,,,,,,,,,,,21,53,,,,,,,7,,,,92,,12,174,4,84,12,17,324,1,14,36,,8,,16,15,,,,,,,,,44,97,7,,1,3,
47,,,,,,,,,,,,,3,27,,,,,,,6,,,,74,,12,116,5,93,14,15,216,1,24,57,,14,,38,70,,,,,,,,,38,110,13,,4,2,1
48,,,,,,,,,,,,,,9,,,,,,,5,,,,50,,10,49,6,79,16,10,76,,32,50,,15,,54,158,,1,,,4,,,,29,112,20,,6,1,4
